policy,time_s,waiting_cars,reward,avg_speed,avg_co2
Cyclic,3254,1.0,-11.612618446350098,10.876297950744629,164.5894317626953
Cyclic,3259,1.0,-11.712352752685547,10.906044960021973,151.9487762451172
Cyclic,3271,1.0,-11.793018341064453,10.936432838439941,162.8956756591797
Cyclic,3276,1.0,-11.225255012512207,10.9190673828125,162.94664001464844
Cyclic,3291,0.0,-10.334808349609375,10.908644676208496,148.9179229736328
Cyclic,3296,1.0,-10.174569129943848,10.898256301879883,145.82705688476562
Cyclic,3310,1.0,-11.896400451660156,10.865306854248047,176.0548095703125
Cyclic,3315,2.0,-11.456018447875977,10.855931282043457,171.06581115722656
Cyclic,3327,2.0,-11.7816801071167,10.835198402404785,161.47702026367188
Cyclic,3332,2.0,-11.221423149108887,10.816927909851074,166.0748748779297
Cyclic,3347,1.0,-12.364160537719727,10.89902400970459,169.3671112060547
Cyclic,3352,1.0,-11.63770866394043,10.874929428100586,159.96446228027344
Cyclic,3366,1.0,-11.198899269104004,10.916760444641113,150.4317626953125
Cyclic,3371,1.0,-11.233174324035645,10.918761253356934,159.56675720214844
Cyclic,3383,0.0,-10.519444465637207,10.893011093139648,143.30023193359375
Cyclic,3388,0.0,-11.355751991271973,10.89380931854248,167.0574493408203
Cyclic,3403,0.0,-12.783318519592285,10.951713562011719,161.21041870117188
Cyclic,3408,3.0,-10.769380569458008,10.936603546142578,155.48472595214844
Cyclic,3422,2.0,-10.58023738861084,10.860855102539062,149.44821166992188
Cyclic,3427,2.0,-11.847941398620605,10.813727378845215,173.6102294921875
Cyclic,3439,1.0,-11.350829124450684,10.904043197631836,135.65257263183594
Cyclic,3444,1.0,-11.43394947052002,10.90124225616455,171.04226684570312
Cyclic,3459,1.0,-11.141602516174316,10.909599304199219,151.99002075195312
Cyclic,3464,1.0,-10.587471961975098,10.892073631286621,155.3926239013672
Cyclic,3478,0.0,-11.657276153564453,10.88758373260498,161.6861572265625
Cyclic,3483,0.0,-12.32952880859375,10.856639862060547,187.78448486328125
Cyclic,3495,1.0,-12.004769325256348,10.894491195678711,162.99343872070312
Cyclic,3500,2.0,-11.463671684265137,10.908984184265137,143.12326049804688
Cyclic,3515,1.0,-10.3599271774292,10.837599754333496,150.24346923828125
Cyclic,3520,1.0,-11.21588134765625,10.867472648620605,161.92970275878906
Cyclic,3534,1.0,-12.249131202697754,10.88939094543457,180.45111083984375
Cyclic,3539,1.0,-11.271363258361816,10.923991203308105,151.2719268798828
Cyclic,3551,1.0,-11.280258178710938,10.920608520507812,159.70848083496094
Cyclic,3556,1.0,-11.096854209899902,10.924785614013672,148.28636169433594
Cyclic,3571,0.0,-11.697637557983398,10.885141372680664,155.4969482421875
Cyclic,3576,2.0,-12.659821510314941,10.86406421661377,192.49691772460938
Cyclic,3590,2.0,-11.704164505004883,10.894074440002441,167.0811004638672
Cyclic,3595,3.0,-11.528472900390625,10.895292282104492,155.4319610595703
Cyclic,3607,1.0,-10.81413459777832,10.837188720703125,158.32363891601562
Random,13,0.0,-14.740311622619629,11.154266357421875,65.74683380126953
Random,18,0.0,-15.434330940246582,11.15872859954834,86.446044921875
Random,31,0.0,-16.80255699157715,11.112936973571777,99.96485900878906
Random,43,0.0,-18.666181564331055,11.089823722839355,140.25189208984375
Random,58,0.0,-9.29101276397705,11.036855697631836,132.0551300048828
Random,72,1.0,-9.877782821655273,10.993439674377441,133.0630645751953
Random,77,1.0,-11.156270027160645,10.950704574584961,161.00250244140625
Random,82,1.0,-11.104931831359863,10.927830696105957,145.09754943847656
Random,87,2.0,-11.59754467010498,10.910013198852539,154.40309143066406
Random,92,1.0,-10.96533203125,10.872270584106445,163.2636260986328
Random,107,1.0,-10.952851295471191,10.88675594329834,150.1837615966797
Random,121,1.0,-11.34654426574707,10.910637855529785,170.9063262939453
Random,132,1.0,-10.83764934539795,10.90637493133545,157.0556640625
Random,146,0.0,-11.522406578063965,10.88548469543457,168.17214965820312
Random,158,1.0,-11.06173038482666,10.873541831970215,159.8914337158203
Random,171,2.0,-10.682848930358887,10.873823165893555,160.84291076660156
Random,176,2.0,-11.107433319091797,10.860457420349121,160.72012329101562
Random,187,1.0,-11.790772438049316,10.82642936706543,172.6370391845703
Random,201,1.0,-11.112405776977539,10.881789207458496,153.31326293945312
Random,216,1.0,-11.780020713806152,10.935104370117188,158.6680145263672
Random,221,2.0,-10.568557739257812,10.903738975524902,144.3526611328125
Random,226,1.0,-11.104984283447266,10.915539741516113,144.0834503173828
Random,240,0.0,-12.647039413452148,10.857515335083008,178.82171630859375
Random,252,0.0,-12.941312789916992,10.94330883026123,184.6006317138672
Random,265,2.0,-9.604874610900879,10.88302993774414,124.41622924804688
Random,276,1.0,-10.768277168273926,10.843195915222168,159.09609985351562
Random,290,0.0,-11.259912490844727,10.916419982910156,147.2160186767578
Random,301,0.0,-11.283349990844727,10.924915313720703,164.0750732421875
Random,315,0.0,-11.296339988708496,10.90178394317627,167.3331756591797
Random,320,0.0,-11.0299072265625,10.910001754760742,149.23985290527344
Random,335,0.0,-12.340051651000977,10.884360313415527,161.38536071777344
Random,349,1.0,-11.832523345947266,10.958521842956543,173.5731658935547
Random,361,2.0,-10.098057746887207,10.87321949005127,142.99501037597656
Random,366,1.0,-10.508139610290527,10.830313682556152,153.73556518554688
Random,371,1.0,-12.044215202331543,10.858800888061523,149.22808837890625
Random,386,1.0,-11.209673881530762,10.900862693786621,150.04632568359375
Random,391,1.0,-10.989173889160156,10.936917304992676,152.15481567382812
Random,405,1.0,-10.532919883728027,10.915306091308594,156.1127166748047
Random,416,1.0,-10.552462577819824,10.924358367919922,158.26890563964844
Random,430,2.0,-11.369373321533203,10.848034858703613,167.70973205566406
Random,435,2.0,-11.69167423248291,10.83745002746582,173.20274353027344
Random,450,2.0,-11.828967094421387,10.844865798950195,147.83358764648438
Random,464,1.0,-11.413034439086914,10.853324890136719,147.96826171875
Random,477,1.0,-11.387447357177734,10.920352935791016,160.16238403320312
Random,488,1.0,-11.576177597045898,10.944538116455078,160.60833740234375
Random,502,1.0,-9.996142387390137,10.909153938293457,138.72740173339844
Random,507,0.0,-11.558210372924805,10.913117408752441,195.56199645996094
Random,518,0.0,-12.730449676513672,10.877964973449707,180.38650512695312
Random,532,1.0,-10.687578201293945,10.927160263061523,137.00588989257812
Random,547,1.0,-10.599005699157715,10.827996253967285,163.6862030029297
Random,552,2.0,-11.70269775390625,10.848830223083496,169.4425048828125
Random,557,2.0,-11.846570014953613,10.891312599182129,166.2355194091797
Random,571,1.0,-11.585343360900879,10.922566413879395,166.7271270751953
Random,582,1.0,-10.457867622375488,10.901832580566406,141.95870971679688
Random,596,0.0,-11.419538497924805,10.884652137756348,175.31796264648438
Random,601,0.0,-11.434967994689941,10.853028297424316,151.25588989257812
Random,614,0.0,-12.510668754577637,10.903077125549316,163.82080078125
Random,625,1.0,-11.195211410522461,10.93932056427002,153.9225616455078
Random,639,0.0,-12.254640579223633,10.873152732849121,168.36074829101562
Random,654,2.0,-12.195486068725586,10.926198959350586,181.8404083251953
Random,668,2.0,-11.048834800720215,10.928694725036621,147.82656860351562
Random,673,2.0,-10.813637733459473,10.92207145690918,149.68350219726562
Random,684,0.0,-10.171834945678711,10.86739730834961,152.1613311767578
Random,698,0.0,-12.605387687683105,10.884482383728027,190.27462768554688
Random,703,0.0,-12.845903396606445,10.911853790283203,173.8221435546875
Random,708,1.0,-12.249905586242676,10.96000862121582,156.96234130859375
Random,719,1.0,-10.333444595336914,10.896044731140137,141.93638610839844
Random,733,0.0,-12.29223918914795,10.86264705657959,157.5708770751953
Random,746,1.0,-12.12026309967041,10.908743858337402,183.8665771484375
Random,751,1.0,-11.964822769165039,10.923054695129395,162.0224151611328
Random,763,1.0,-11.420923233032227,10.923836708068848,156.9675750732422
Random,778,1.0,-10.961877822875977,10.904813766479492,146.72125244140625
Random,792,2.0,-11.159294128417969,10.86613655090332,149.2221221923828
Random,805,2.0,-11.238000869750977,10.863642692565918,171.55413818359375
Random,817,0.0,-11.921313285827637,10.837411880493164,182.65542602539062
Random,832,0.0,-10.958745002746582,10.915085792541504,164.3870086669922
Random,846,0.0,-11.239997863769531,10.92842960357666,149.49575805664062
Random,861,0.0,-10.420832633972168,10.895686149597168,137.98631286621094
Random,875,0.0,-12.33959674835205,10.879204750061035,162.002685546875
Random,886,0.0,-12.118834495544434,10.88084602355957,151.49732971191406
Random,900,1.0,-10.193954467773438,10.886470794677734,134.33238220214844
Random,915,0.0,-12.245866775512695,10.89150619506836,169.9671630859375
Random,929,0.0,-12.333869934082031,10.94325065612793,157.74595642089844
Random,940,0.0,-10.781820297241211,10.931044578552246,147.71849060058594
Random,945,1.0,-10.84844970703125,10.910929679870605,157.0138397216797
Random,950,1.0,-10.87232780456543,10.93272590637207,144.81886291503906
Random,964,0.0,-12.699686050415039,10.868021965026855,174.33982849121094
Random,969,2.0,-11.994098663330078,10.902043342590332,172.3516845703125
Random,982,1.0,-11.75040054321289,10.917442321777344,155.59207153320312
Random,993,1.0,-11.104300498962402,10.839269638061523,157.77767944335938
Random,1007,0.0,-11.692666053771973,10.90774154663086,167.7572784423828
Random,1012,0.0,-11.030513763427734,10.906512260437012,159.68292236328125
Random,1027,0.0,-11.198555946350098,10.954073905944824,168.6941680908203
Random,1041,1.0,-10.489526748657227,10.909341812133789,138.1421356201172
Random,1053,0.0,-12.134902000427246,10.870931625366211,172.09326171875
Random,1066,0.0,-12.458845138549805,10.895562171936035,158.61981201171875
Random,1071,1.0,-12.243896484375,10.94577407836914,161.47203063964844
Random,1076,1.0,-11.737282752990723,10.905527114868164,158.45257568359375
Random,1081,1.0,-10.52491283416748,10.86196231842041,142.6785888671875
Random,1092,0.0,-11.780336380004883,10.864165306091309,160.0818634033203
Random,1097,0.0,-12.636897087097168,10.894783020019531,182.843994140625
Random,1111,0.0,-11.254061698913574,10.924400329589844,152.8336639404297
Random,1116,1.0,-11.336136817932129,10.929821968078613,147.8045654296875
Random,1129,0.0,-11.543068885803223,10.912238121032715,162.06793212890625
Random,1134,2.0,-10.417466163635254,10.888605117797852,143.4986572265625
Random,1145,2.0,-10.615924835205078,10.840189933776855,152.1788787841797
Random,1159,2.0,-10.87487506866455,10.86057186126709,149.073486328125
Random,1164,2.0,-11.353048324584961,10.861740112304688,174.36961364746094
Random,1169,2.0,-11.217578887939453,10.877664566040039,152.3185577392578
Random,1174,1.0,-11.606192588806152,10.84804630279541,160.96356201171875
Random,1185,0.0,-12.172924041748047,10.866788864135742,162.8822784423828
Random,1190,1.0,-11.65157413482666,10.902344703674316,158.22064208984375
Random,1195,0.0,-11.904265403747559,10.913942337036133,166.31781005859375
Random,1209,0.0,-10.794060707092285,10.942139625549316,143.57357788085938
Random,1224,0.0,-10.783584594726562,10.89510440826416,152.16641235351562
Random,1229,0.0,-12.185166358947754,10.856514930725098,181.7237548828125
Random,1243,0.0,-11.934493064880371,10.891839027404785,161.07565307617188
Random,1258,2.0,-10.380270004272461,10.889738082885742,140.0857696533203
Random,1272,1.0,-12.610729217529297,10.856273651123047,178.10560607910156
Random,1277,1.0,-12.45031452178955,10.915884971618652,179.0902099609375
Random,1288,1.0,-12.366960525512695,10.924957275390625,165.08885192871094
Random,1293,1.0,-11.6224365234375,10.925373077392578,146.2589111328125
Random,1307,0.0,-10.365619659423828,10.918625831604004,144.61570739746094
Random,1322,0.0,-12.380038261413574,10.867667198181152,180.03369140625
Random,1336,1.0,-10.791275024414062,10.920924186706543,139.06640625
Random,1341,2.0,-11.120285034179688,10.914568901062012,154.33584594726562
Random,1346,3.0,-10.252812385559082,10.887696266174316,146.9062042236328
Random,1361,1.0,-10.912583351135254,10.839815139770508,151.9619140625
Random,1366,1.0,-11.454845428466797,10.849794387817383,162.14381408691406
Random,1371,1.0,-11.191832542419434,10.862093925476074,149.4178924560547
Random,1385,1.0,-11.63586139678955,10.922091484069824,159.3058319091797
Random,1398,0.0,-11.24932861328125,10.927044868469238,166.411376953125
Random,1410,0.0,-12.553181648254395,10.889176368713379,191.33261108398438
Random,1425,0.0,-12.669257164001465,10.944709777832031,165.25619506835938
Random,1439,1.0,-11.782737731933594,10.920465469360352,173.3814239501953
Random,1451,0.0,-13.251205444335938,10.863259315490723,179.2554168701172
Random,1466,0.0,-12.70777702331543,10.960921287536621,171.5633087158203
Random,1471,0.0,-12.350251197814941,10.972362518310547,158.48611450195312
Random,1485,0.0,-10.043651580810547,10.948686599731445,162.1161651611328
Random,1498,1.0,-10.541892051696777,10.903629302978516,145.41580200195312
Random,1503,2.0,-11.111868858337402,10.860380172729492,149.7576141357422
Random,1508,1.0,-11.676700592041016,10.857061386108398,149.54161071777344
Random,1519,2.0,-10.961353302001953,10.824089050292969,155.35691833496094
Random,1533,1.0,-11.129521369934082,10.830574989318848,163.5618438720703
Random,1546,0.0,-11.982388496398926,10.874356269836426,160.0419921875
Random,1557,0.0,-11.97573184967041,10.902120590209961,155.8408203125
Random,1571,0.0,-11.945395469665527,10.947553634643555,157.05992126464844
Random,1583,0.0,-10.420977592468262,10.898340225219727,146.76632690429688
Random,1596,0.0,-12.360302925109863,10.868278503417969,177.4390411376953
Random,1608,1.0,-12.226753234863281,10.928797721862793,180.83746337890625
Random,1613,2.0,-11.728517532348633,10.945727348327637,169.3560791015625
Random,1626,1.0,-11.075640678405762,10.852532386779785,167.9130096435547
Random,1631,2.0,-11.665799140930176,10.85688304901123,161.56344604492188
Random,1636,2.0,-12.023451805114746,10.876264572143555,162.96043395996094
Random,1647,2.0,-11.082771301269531,10.909473419189453,156.8786163330078
Random,1661,2.0,-10.321950912475586,10.921941757202148,138.888671875
Random,1666,2.0,-10.983074188232422,10.92120361328125,162.07144165039062
Random,1677,0.0,-11.661089897155762,10.883180618286133,165.8601531982422
Random,1682,0.0,-12.058220863342285,10.862716674804688,161.70709228515625
Random,1687,0.0,-12.33975601196289,10.892505645751953,170.91744995117188
Random,1692,2.0,-12.157352447509766,10.960588455200195,157.86083984375
Random,1697,2.0,-11.485189437866211,10.937019348144531,163.69139099121094
Random,1711,2.0,-10.649288177490234,10.819995880126953,144.1169891357422
Random,1716,0.0,-10.801593780517578,10.84487247467041,160.55670166015625
Random,1721,0.0,-13.112811088562012,10.856268882751465,195.1289520263672
Random,1732,0.0,-11.001945495605469,10.88708209991455,144.64442443847656
Random,1746,0.0,-11.98196029663086,10.946979522705078,165.76614379882812
Random,1757,0.0,-11.258328437805176,10.9390869140625,160.04299926757812
Random,1762,1.0,-10.94205093383789,10.92171859741211,153.9268798828125
Random,1776,0.0,-12.923686027526855,10.870842933654785,177.4256591796875
Random,1788,1.0,-11.616780281066895,10.928840637207031,152.274169921875
Random,1801,2.0,-9.765349388122559,10.852055549621582,123.54198455810547
